"date","segment","units","net_sales_eur"
2024-04-04,"Hoses & Bellows",14400,219954.3
2024-04-04,"Other Automotive",11262,102390.47
2024-04-04,"Powertrain Mounts",4702,275219.36
2024-04-04,"Sealing",86175,287987.88
2024-04-05,"Cable Protection",22047,142526.24
2024-04-05,"Chassis NVH",11142,273357.06
2024-04-05,"Hoses & Bellows",13687,201432.9
2024-04-05,"Other Automotive",11018,96682.3
2024-04-05,"Powertrain Mounts",4043,229783.17
2024-04-05,"Sealing",81253,254551.8
2024-04-06,"Cable Protection",4223,27054.62
2024-04-06,"Chassis NVH",3227,77820.91
2024-04-06,"Hoses & Bellows",4659,69530.23
2024-04-06,"Other Automotive",2894,25736
2024-04-06,"Powertrain Mounts",1425,81026.92
2024-04-06,"Sealing",17601,56288.76
2024-04-07,"Cable Protection",2360,15830.06
2024-04-07,"Chassis NVH",2599,63955.25
2024-04-07,"Hoses & Bellows",3581,53621.44
2024-04-07,"Other Automotive",1894,16852.02
2024-04-07,"Powertrain Mounts",1081,62427.67
2024-04-07,"Sealing",10802,34525.54
2024-04-08,"Cable Protection",26463,174983.03
2024-04-08,"Chassis NVH",11792,287581.83
2024-04-08,"Hoses & Bellows",14868,224978.36
2024-04-08,"Other Automotive",12068,105458.27
2024-04-08,"Powertrain Mounts",5321,313429.42
2024-04-08,"Sealing",89137,284015.36
2024-04-09,"Cable Protection",24593,161173.66
2024-04-09,"Chassis NVH",12547,298814.26
2024-04-09,"Hoses & Bellows",16260,236153.79
2024-04-09,"Other Automotive",12611,117801.97
2024-04-09,"Powertrain Mounts",5450,320902.72
2024-04-09,"Sealing",83115,267525.82
2024-04-10,"Cable Protection",24135,155091.02
2024-04-10,"Chassis NVH",12316,297293.67
2024-04-10,"Hoses & Bellows",17061,251874.61
2024-04-10,"Other Automotive",12811,114829.56
2024-04-10,"Powertrain Mounts",5043,285487.6
2024-04-10,"Sealing",92667,294658.79
2024-04-11,"Cable Protection",24524,154869.84
2024-04-11,"Chassis NVH",12032,287296.96
2024-04-11,"Hoses & Bellows",17157,256037.66
2024-04-11,"Other Automotive",13066,115220.7
2024-04-11,"Powertrain Mounts",5307,315573.33
2024-04-11,"Sealing",89032,289201.48
2024-04-12,"Cable Protection",21816,145122.06
2024-04-12,"Chassis NVH",10612,243319.3
2024-04-12,"Hoses & Bellows",16695,249842.29
2024-04-12,"Other Automotive",12388,113266.68
2024-04-12,"Powertrain Mounts",4578,266498.73
2024-04-12,"Sealing",85028,268936.88
2024-04-13,"Cable Protection",4521,29037.68
2024-04-13,"Chassis NVH",3612,84272.28
2024-04-13,"Hoses & Bellows",5084,76594.18
2024-04-13,"Other Automotive",3072,27287.77
2024-04-13,"Powertrain Mounts",1372,80604.69
2024-04-13,"Sealing",18437,58804.8
2024-04-14,"Cable Protection",2289,15008.8
2024-04-14,"Chassis NVH",2785,67869.22
2024-04-14,"Hoses & Bellows",3913,56415.57
2024-04-14,"Other Automotive",1896,16692.65
2024-04-14,"Powertrain Mounts",1056,59667.06
2024-04-14,"Sealing",10714,34745.18
2024-04-15,"Cable Protection",24151,154729.02
2024-04-15,"Chassis NVH",12110,289707.07
2024-04-15,"Hoses & Bellows",16738,253619.59
2024-04-15,"Other Automotive",12155,110863.71
2024-04-15,"Powertrain Mounts",5048,301106.57
2024-04-15,"Sealing",90110,288021.18
2024-04-16,"Cable Protection",24589,160204.21
2024-04-16,"Chassis NVH",13341,314295.36
2024-04-16,"Hoses & Bellows",17116,254109.83
2024-04-16,"Other Automotive",12984,116847.83
2024-04-16,"Powertrain Mounts",5482,316674.49
2024-04-16,"Sealing",87274,279304.83
2024-04-17,"Cable Protection",25101,167634.71
2024-04-17,"Chassis NVH",12056,289819.27
2024-04-17,"Hoses & Bellows",16842,254703.61
2024-04-17,"Other Automotive",13400,123490.58
2024-04-17,"Powertrain Mounts",5263,299043.31
2024-04-17,"Sealing",95157,307306.49
2024-04-18,"Cable Protection",23485,152965.83
2024-04-18,"Chassis NVH",11510,269742.56
2024-04-18,"Hoses & Bellows",15858,237938.18
2024-04-18,"Other Automotive",13173,117135.93
2024-04-18,"Powertrain Mounts",5227,306715.64
2024-04-18,"Sealing",89853,284046.46
2024-04-19,"Cable Protection",20946,138104.46
2024-04-19,"Chassis NVH",11182,271984.4
2024-04-19,"Hoses & Bellows",15331,227274.11
2024-04-19,"Other Automotive",11388,103280.09
2024-04-19,"Powertrain Mounts",5021,292332.76
2024-04-19,"Sealing",82432,278042.7
2024-04-20,"Cable Protection",3824,25034.82
2024-04-20,"Chassis NVH",3476,83133.73
2024-04-20,"Hoses & Bellows",4834,71053.73
2024-04-20,"Other Automotive",2829,26169.95
2024-04-20,"Powertrain Mounts",1347,79104.83
2024-04-20,"Sealing",18837,60526.46
2024-04-21,"Cable Protection",2211,14242.4
2024-04-21,"Chassis NVH",2640,61849.94
2024-04-21,"Hoses & Bellows",3586,54522.66
2024-04-21,"Other Automotive",1882,17183.62
2024-04-21,"Powertrain Mounts",1010,59136.39
2024-04-21,"Sealing",10637,33127.44
2024-04-22,"Cable Protection",24425,160715.14
2024-04-22,"Chassis NVH",10926,257003.55
2024-04-22,"Hoses & Bellows",16448,251827.79
2024-04-22,"Other Automotive",12100,109270.34
2024-04-22,"Powertrain Mounts",5451,316388.78
2024-04-22,"Sealing",88647,294582.12
2024-04-23,"Cable Protection",25234,166462.09
2024-04-23,"Chassis NVH",12350,291824.82
2024-04-23,"Hoses & Bellows",16071,240802.35
2024-04-23,"Other Automotive",12837,117672.84
2024-04-23,"Powertrain Mounts",5248,301965.73
2024-04-23,"Sealing",85564,270728.12
2024-04-24,"Cable Protection",25692,170043.11
2024-04-24,"Chassis NVH",12631,297647.71
2024-04-24,"Hoses & Bellows",16188,244310.05
2024-04-24,"Other Automotive",13566,118864.35
2024-04-24,"Powertrain Mounts",5387,308706.14
2024-04-24,"Sealing",90471,294846.75
2024-04-25,"Cable Protection",23798,155496.24
2024-04-25,"Chassis NVH",12472,300377.08
2024-04-25,"Hoses & Bellows",16945,254786.57
2024-04-25,"Other Automotive",13949,124428.14
2024-04-25,"Powertrain Mounts",5375,310616.77
2024-04-25,"Sealing",84746,260472.62
2024-04-26,"Cable Protection",22687,145828.41
2024-04-26,"Chassis NVH",10987,268578.89
2024-04-26,"Hoses & Bellows",15236,229197.7
2024-04-26,"Other Automotive",11454,102578.33
2024-04-26,"Powertrain Mounts",5145,291530.56
2024-04-26,"Sealing",77688,251657.88
2024-04-27,"Cable Protection",4237,27434.9
2024-04-27,"Chassis NVH",3543,84739.02
2024-04-27,"Hoses & Bellows",4797,73571.31
2024-04-27,"Other Automotive",2871,25855.81
2024-04-27,"Powertrain Mounts",1405,82734.63
2024-04-27,"Sealing",17620,56316.58
2024-04-28,"Cable Protection",2293,14872.41
2024-04-28,"Chassis NVH",2522,60212.25
2024-04-28,"Hoses & Bellows",3699,55316.02
2024-04-28,"Other Automotive",1865,16586.65
2024-04-28,"Powertrain Mounts",1047,60660.33
2024-04-28,"Sealing",10337,32821.15
2024-04-29,"Cable Protection",25311,164975.56
2024-04-29,"Chassis NVH",11510,268238.07
2024-04-29,"Hoses & Bellows",15801,243896.48
2024-04-29,"Other Automotive",12165,108556.9
2024-04-29,"Powertrain Mounts",5181,309542.49
2024-04-29,"Sealing",80184,245178.11
2024-04-30,"Cable Protection",5956,39408.02
2024-04-30,"Chassis NVH",4060,98854.61
2024-04-30,"Hoses & Bellows",5909,87473.56
2024-04-30,"Other Automotive",3539,32258.72
2024-04-30,"Powertrain Mounts",1873,107785.2
2024-04-30,"Sealing",22859,72621.72
2024-05-01,"Cable Protection",21879,136296.13
2024-05-01,"Chassis NVH",9976,244085.57
2024-05-01,"Hoses & Bellows",15186,217950.35
2024-05-01,"Other Automotive",11290,97372.54
2024-05-01,"Powertrain Mounts",5275,297993.28
2024-05-01,"Sealing",79515,252659.51
2024-05-02,"Cable Protection",19228,123264.35
2024-05-02,"Chassis NVH",9931,242710.01
2024-05-02,"Hoses & Bellows",15443,227150.69
2024-05-02,"Other Automotive",10404,94250.82
2024-05-02,"Powertrain Mounts",5021,288128.93
2024-05-02,"Sealing",80116,250929.33
2024-05-03,"Cable Protection",17484,115149.77
2024-05-03,"Chassis NVH",9879,234399.58
2024-05-03,"Hoses & Bellows",14183,209959.31
2024-05-03,"Other Automotive",9792,90179.69
2024-05-03,"Powertrain Mounts",4726,271168.41
2024-05-03,"Sealing",75102,236742.63
2024-05-04,"Cable Protection",3719,24485.02
2024-05-04,"Chassis NVH",3085,75706.19
2024-05-04,"Hoses & Bellows",4446,66457.91
2024-05-04,"Other Automotive",2618,23090.33
2024-05-04,"Powertrain Mounts",1403,82130.55
2024-05-04,"Sealing",17161,55998.9
2024-05-05,"Cable Protection",2084,13652.79
2024-05-05,"Chassis NVH",2330,56630.44
2024-05-05,"Hoses & Bellows",3550,53646.85
2024-05-05,"Other Automotive",1771,16002.95
2024-05-05,"Powertrain Mounts",919,54546.92
2024-05-05,"Sealing",10411,33268.18
2024-05-06,"Cable Protection",21201,138307.02
2024-05-06,"Chassis NVH",9820,223823.89
2024-05-06,"Hoses & Bellows",14388,217991.87
2024-05-06,"Other Automotive",11144,100496.11
2024-05-06,"Powertrain Mounts",4636,264984.51
2024-05-06,"Sealing",78038,248367.67
2024-05-07,"Cable Protection",22500,148207.04
2024-05-07,"Chassis NVH",10413,253811.75
2024-05-07,"Hoses & Bellows",14858,223267.56
2024-05-07,"Other Automotive",11173,100614.82
2024-05-07,"Powertrain Mounts",4872,282457.59
2024-05-07,"Sealing",83427,263604.15
2024-05-08,"Cable Protection",5590,35397.52
2024-05-08,"Chassis NVH",3710,87361.88
2024-05-08,"Hoses & Bellows",5590,83200.13
2024-05-08,"Other Automotive",3246,29397.25
2024-05-08,"Powertrain Mounts",1572,93117.58
2024-05-08,"Sealing",23083,73979.01
2024-05-09,"Cable Protection",21962,147441.44
2024-05-09,"Chassis NVH",11117,267252.28
2024-05-09,"Hoses & Bellows",14247,213850.04
2024-05-09,"Other Automotive",11241,102739.05
2024-05-09,"Powertrain Mounts",5047,285815.89
2024-05-09,"Sealing",82900,261417.26
2024-05-10,"Cable Protection",17894,115973.99
2024-05-10,"Chassis NVH",9669,223964.18
2024-05-10,"Hoses & Bellows",11863,177999.96
2024-05-10,"Other Automotive",9585,85470.27
2024-05-10,"Powertrain Mounts",3972,224412.27
2024-05-10,"Sealing",68952,219821.54
2024-05-11,"Cable Protection",3685,24196.93
2024-05-11,"Chassis NVH",3332,79196.46
2024-05-11,"Hoses & Bellows",4241,63975.62
2024-05-11,"Other Automotive",2528,22040.42
2024-05-11,"Powertrain Mounts",1280,73736.63
2024-05-11,"Sealing",14831,47922.43
2024-05-12,"Cable Protection",2156,14183.69
2024-05-12,"Chassis NVH",2640,63382.22
2024-05-12,"Hoses & Bellows",3572,53138.42
2024-05-12,"Other Automotive",1835,16019.5
2024-05-12,"Powertrain Mounts",985,59144.76
2024-05-12,"Sealing",9996,31780.34
2024-05-13,"Cable Protection",20873,134798.8
2024-05-13,"Chassis NVH",11140,270738.97
2024-05-13,"Hoses & Bellows",14341,213862.68
2024-05-13,"Other Automotive",10772,97066.77
2024-05-13,"Powertrain Mounts",4920,279456.13
2024-05-13,"Sealing",70934,223777.23
2024-05-14,"Cable Protection",20847,137505.87
2024-05-14,"Chassis NVH",12173,294025.48
2024-05-14,"Hoses & Bellows",15037,234284.03
2024-05-14,"Other Automotive",11283,99936.58
2024-05-14,"Powertrain Mounts",5165,307747.43
2024-05-14,"Sealing",79571,259441.59
2024-05-15,"Cable Protection",21384,136412.59
2024-05-15,"Chassis NVH",11819,288394.44
2024-05-15,"Hoses & Bellows",14761,224758.04
2024-05-15,"Other Automotive",10240,93791.07
2024-05-15,"Powertrain Mounts",5250,303553.24
2024-05-15,"Sealing",81137,264408.77
2024-05-16,"Cable Protection",22302,145419.86
2024-05-16,"Chassis NVH",11408,266992.48
2024-05-16,"Hoses & Bellows",15456,236416.23
2024-05-16,"Other Automotive",10001,87765.68
2024-05-16,"Powertrain Mounts",5119,293269.72
2024-05-16,"Sealing",84980,270576.91
2024-05-17,"Cable Protection",19627,126220.62
2024-05-17,"Chassis NVH",10401,246473.92
2024-05-17,"Hoses & Bellows",13758,208439.45
2024-05-17,"Other Automotive",9874,90493.89
2024-05-17,"Powertrain Mounts",4658,271304.06
2024-05-17,"Sealing",75987,245714.66
2024-05-18,"Cable Protection",2054,13343.42
2024-05-18,"Chassis NVH",2533,61190.16
2024-05-18,"Hoses & Bellows",3381,49156.64
2024-05-18,"Other Automotive",1716,15627.72
2024-05-18,"Powertrain Mounts",964,55287.87
2024-05-18,"Sealing",9898,31968.94
2024-05-19,"Cable Protection",2266,14902.87
2024-05-19,"Chassis NVH",2533,61439.85
2024-05-19,"Hoses & Bellows",3393,50956.83
2024-05-19,"Other Automotive",1691,15301.85
2024-05-19,"Powertrain Mounts",1025,59439.68
2024-05-19,"Sealing",10560,33405.99
2024-05-20,"Cable Protection",22308,142357.46
2024-05-20,"Chassis NVH",10603,255389.36
2024-05-20,"Hoses & Bellows",14164,216801.14
2024-05-20,"Other Automotive",10206,91458.16
2024-05-20,"Powertrain Mounts",4913,283072.7
2024-05-20,"Sealing",75729,239151.53
2024-05-21,"Cable Protection",20489,135259.73
2024-05-21,"Chassis NVH",11219,271727.17
2024-05-21,"Hoses & Bellows",13592,201770
2024-05-21,"Other Automotive",10230,89235.77
2024-05-21,"Powertrain Mounts",4485,262869.52
2024-05-21,"Sealing",70919,235889.23
2024-05-22,"Cable Protection",22454,147191.68
2024-05-22,"Chassis NVH",12543,300374.2
2024-05-22,"Hoses & Bellows",15050,228546.61
2024-05-22,"Other Automotive",11432,104360.24
2024-05-22,"Powertrain Mounts",5012,290097.7
2024-05-22,"Sealing",78742,254624.73
2024-05-23,"Cable Protection",22142,145482.69
2024-05-23,"Chassis NVH",12059,293860.1
2024-05-23,"Hoses & Bellows",14915,217477.1
2024-05-23,"Other Automotive",11371,101525.33
2024-05-23,"Powertrain Mounts",4597,255448.73
2024-05-23,"Sealing",80351,262907.48
2024-05-24,"Cable Protection",20523,134275.39
2024-05-24,"Chassis NVH",10160,245660.32
2024-05-24,"Hoses & Bellows",13298,201981.82
2024-05-24,"Other Automotive",10109,88072.97
2024-05-24,"Powertrain Mounts",4158,240840.47
2024-05-24,"Sealing",75974,248690.55
2024-05-25,"Cable Protection",4142,27051.68
2024-05-25,"Chassis NVH",3135,74717.4
2024-05-25,"Hoses & Bellows",4270,64255.97
2024-05-25,"Other Automotive",2657,23837.43
2024-05-25,"Powertrain Mounts",1335,77883.98
2024-05-25,"Sealing",19299,62369.13
2024-05-26,"Cable Protection",2226,14175.12
2024-05-26,"Chassis NVH",2547,60042.43
2024-05-26,"Hoses & Bellows",3678,53729.25
2024-05-26,"Other Automotive",1706,15352.2
2024-05-26,"Powertrain Mounts",966,55422.79
2024-05-26,"Sealing",12466,40805.8
2024-05-27,"Cable Protection",21220,132410.32
2024-05-27,"Chassis NVH",10703,253348.09
2024-05-27,"Hoses & Bellows",14634,205468.15
2024-05-27,"Other Automotive",9954,92074.17
2024-05-27,"Powertrain Mounts",4381,246188.49
2024-05-27,"Sealing",85283,268519.94
2024-05-28,"Cable Protection",21647,142644.3
2024-05-28,"Chassis NVH",11429,273186.55
2024-05-28,"Hoses & Bellows",14718,222783.37
2024-05-28,"Other Automotive",10800,96014.22
2024-05-28,"Powertrain Mounts",4653,276089.24
2024-05-28,"Sealing",85554,270574.56
2024-05-29,"Cable Protection",22193,136507.66
2024-05-29,"Chassis NVH",11187,262933.95
2024-05-29,"Hoses & Bellows",14475,216641.83
2024-05-29,"Other Automotive",10810,97901.73
2024-05-29,"Powertrain Mounts",4859,276283.76
2024-05-29,"Sealing",86018,269647.71
2024-05-30,"Cable Protection",20282,129874
2024-05-30,"Chassis NVH",11170,263294.43
2024-05-30,"Hoses & Bellows",14811,223027.15
2024-05-30,"Other Automotive",9668,86941.9
2024-05-30,"Powertrain Mounts",4611,257309.89
2024-05-30,"Sealing",77790,248854.95
2024-05-31,"Cable Protection",18686,125436.41
2024-05-31,"Chassis NVH",9574,237185.91
2024-05-31,"Hoses & Bellows",13326,195219.51
2024-05-31,"Other Automotive",9536,84752.94
2024-05-31,"Powertrain Mounts",4300,249629.82
2024-05-31,"Sealing",69813,228723.06
2024-06-01,"Cable Protection",3997,25966.2
2024-06-01,"Chassis NVH",3049,71851.94
2024-06-01,"Hoses & Bellows",5088,74938.11
2024-06-01,"Other Automotive",2774,24744.82
2024-06-01,"Powertrain Mounts",1271,74339.05
2024-06-01,"Sealing",17492,54400.09
2024-06-02,"Cable Protection",2149,13815.54
2024-06-02,"Chassis NVH",2556,61152.27
2024-06-02,"Hoses & Bellows",3648,56001.03
2024-06-02,"Other Automotive",1846,16580.88
2024-06-02,"Powertrain Mounts",985,58038.65
2024-06-02,"Sealing",11116,34354.6
2024-06-03,"Cable Protection",22019,145160.54
2024-06-03,"Chassis NVH",10125,241226.57
2024-06-03,"Hoses & Bellows",15992,238799.93
2024-06-03,"Other Automotive",11716,105200.53
2024-06-03,"Powertrain Mounts",4611,262149.43
2024-06-03,"Sealing",85232,272589.6
2024-06-04,"Cable Protection",22218,145932.84
2024-06-04,"Chassis NVH",10447,248548.04
2024-06-04,"Hoses & Bellows",17528,258925.07
2024-06-04,"Other Automotive",12957,114155.31
2024-06-04,"Powertrain Mounts",5084,286442.26
2024-06-04,"Sealing",87227,271962.58
2024-06-05,"Cable Protection",23525,157998.82
2024-06-05,"Chassis NVH",10762,263052.29
2024-06-05,"Hoses & Bellows",16018,238407.68
2024-06-05,"Other Automotive",13256,120874.62
2024-06-05,"Powertrain Mounts",5226,300436.55
2024-06-05,"Sealing",85134,275376.79
2024-06-06,"Cable Protection",22648,150067.39
2024-06-06,"Chassis NVH",10885,253244.23
2024-06-06,"Hoses & Bellows",16781,247624.1
2024-06-06,"Other Automotive",12350,110591.61
2024-06-06,"Powertrain Mounts",4665,269438.72
2024-06-06,"Sealing",88060,282622.14
2024-06-07,"Cable Protection",20889,135490
2024-06-07,"Chassis NVH",10264,250792.82
2024-06-07,"Hoses & Bellows",14903,227405.4
2024-06-07,"Other Automotive",10820,99900.16
2024-06-07,"Powertrain Mounts",4890,281129.82
2024-06-07,"Sealing",87224,277591.46
2024-06-08,"Cable Protection",4178,26388.81
2024-06-08,"Chassis NVH",3329,77790.45
2024-06-08,"Hoses & Bellows",4740,69672.17
2024-06-08,"Other Automotive",2800,26360.89
2024-06-08,"Powertrain Mounts",1453,83634.9
2024-06-08,"Sealing",19056,61813.61
2024-06-09,"Cable Protection",2148,14253.29
2024-06-09,"Chassis NVH",2542,62807.14
2024-06-09,"Hoses & Bellows",3509,51929.05
2024-06-09,"Other Automotive",2072,18240.41
2024-06-09,"Powertrain Mounts",993,57022.68
2024-06-09,"Sealing",11369,36175.29
2024-06-10,"Cable Protection",22213,137059.89
2024-06-10,"Chassis NVH",11392,282395.14
2024-06-10,"Hoses & Bellows",15024,226375.54
2024-06-10,"Other Automotive",11369,99981.69
2024-06-10,"Powertrain Mounts",5038,293345.2
2024-06-10,"Sealing",87112,273403.19
2024-06-11,"Cable Protection",23946,157398.09
2024-06-11,"Chassis NVH",11559,281002.08
2024-06-11,"Hoses & Bellows",15877,241736.92
2024-06-11,"Other Automotive",11886,106022.28
2024-06-11,"Powertrain Mounts",5182,293786.68
2024-06-11,"Sealing",92071,291495.82
2024-06-12,"Cable Protection",23855,153543.37
2024-06-12,"Chassis NVH",11969,297377.63
2024-06-12,"Hoses & Bellows",15678,233496.55
2024-06-12,"Other Automotive",11505,101743.44
2024-06-12,"Powertrain Mounts",5294,303448.62
2024-06-12,"Sealing",90559,286337.09
2024-06-13,"Cable Protection",23600,150394.24
2024-06-13,"Chassis NVH",11482,277753.41
2024-06-13,"Hoses & Bellows",15315,229320.22
2024-06-13,"Other Automotive",11141,102215.11
2024-06-13,"Powertrain Mounts",5221,296033.8
2024-06-13,"Sealing",91084,292340.68
2024-06-14,"Cable Protection",21097,139316.08
2024-06-14,"Chassis NVH",9971,245035.29
2024-06-14,"Hoses & Bellows",13973,207800.48
2024-06-14,"Other Automotive",9970,88886.47
2024-06-14,"Powertrain Mounts",4472,261253.76
2024-06-14,"Sealing",80817,261934.04
2024-06-15,"Cable Protection",3862,25503.72
2024-06-15,"Chassis NVH",3358,81571.99
2024-06-15,"Hoses & Bellows",5033,75861.98
2024-06-15,"Other Automotive",2493,21698.7
2024-06-15,"Powertrain Mounts",1346,79219.58
2024-06-15,"Sealing",17662,55753.05
2024-06-16,"Cable Protection",2267,14494.56
2024-06-16,"Chassis NVH",2401,55434.62
2024-06-16,"Hoses & Bellows",3737,54519.86
2024-06-16,"Other Automotive",1852,16893
2024-06-16,"Powertrain Mounts",976,55908.48
2024-06-16,"Sealing",11147,35115.85
2024-06-17,"Cable Protection",24150,154021.52
2024-06-17,"Chassis NVH",10488,251005.78
2024-06-17,"Hoses & Bellows",15781,235585.37
2024-06-17,"Other Automotive",11256,101966.84
2024-06-17,"Powertrain Mounts",4629,264064.17
2024-06-17,"Sealing",88618,283924.27
2024-06-18,"Cable Protection",25484,164574.66
2024-06-18,"Chassis NVH",11020,263461.85
2024-06-18,"Hoses & Bellows",16519,239499.75
2024-06-18,"Other Automotive",12102,109307.08
2024-06-18,"Powertrain Mounts",5187,287974.8
2024-06-18,"Sealing",89132,281082.13
2024-06-19,"Cable Protection",25384,165568.69
2024-06-19,"Chassis NVH",10860,264592.94
2024-06-19,"Hoses & Bellows",16743,253683.5
2024-06-19,"Other Automotive",11987,109253.25
2024-06-19,"Powertrain Mounts",4981,301080.2
2024-06-19,"Sealing",87974,288433.52
2024-06-20,"Cable Protection",24827,162892.57
2024-06-20,"Chassis NVH",10444,250106.19
2024-06-20,"Hoses & Bellows",15664,226281.93
2024-06-20,"Other Automotive",11406,102399.88
2024-06-20,"Powertrain Mounts",4660,279258.19
2024-06-20,"Sealing",86716,276662.56
2024-06-21,"Cable Protection",22086,146745.98
2024-06-21,"Chassis NVH",10316,243626.2
2024-06-21,"Hoses & Bellows",14303,216759.22
2024-06-21,"Other Automotive",10862,95482.09
2024-06-21,"Powertrain Mounts",5007,294686.68
2024-06-21,"Sealing",78627,254845.33
2024-06-22,"Cable Protection",3820,24674.94
2024-06-22,"Chassis NVH",2997,71141.47
2024-06-22,"Hoses & Bellows",4473,67637.69
2024-06-22,"Other Automotive",2844,25582.61
2024-06-22,"Powertrain Mounts",1432,84897.69
2024-06-22,"Sealing",17567,55895.37
2024-06-23,"Cable Protection",2154,14280.82
2024-06-23,"Chassis NVH",2460,58716.73
2024-06-23,"Hoses & Bellows",3539,51725.57
2024-06-23,"Other Automotive",1963,17574.12
2024-06-23,"Powertrain Mounts",1030,59664.22
2024-06-23,"Sealing",11274,36067.78
2024-06-24,"Cable Protection",21457,141158.58
2024-06-24,"Chassis NVH",10317,247746.64
2024-06-24,"Hoses & Bellows",14035,213064.46
2024-06-24,"Other Automotive",11252,100173.7
2024-06-24,"Powertrain Mounts",4384,250534.98
2024-06-24,"Sealing",72313,236467.71
2024-06-25,"Cable Protection",21779,140353.99
2024-06-25,"Chassis NVH",10309,247887.46
2024-06-25,"Hoses & Bellows",15362,231750.11
2024-06-25,"Other Automotive",11813,105007.11
2024-06-25,"Powertrain Mounts",4479,254533.83
2024-06-25,"Sealing",79827,258243.05
2024-06-26,"Cable Protection",22495,147317.27
2024-06-26,"Chassis NVH",9783,237381.37
2024-06-26,"Hoses & Bellows",15742,238109.57
2024-06-26,"Other Automotive",11745,107625.29
2024-06-26,"Powertrain Mounts",4323,255654.18
2024-06-26,"Sealing",76135,242610.32
2024-06-27,"Cable Protection",21475,138704.31
2024-06-27,"Chassis NVH",9371,222288.38
2024-06-27,"Hoses & Bellows",14840,222203.48
2024-06-27,"Other Automotive",11854,104515.05
2024-06-27,"Powertrain Mounts",4505,255731.37
2024-06-27,"Sealing",76097,240600.09
2024-06-28,"Cable Protection",20161,132177.89
2024-06-28,"Chassis NVH",9009,223362.17
2024-06-28,"Hoses & Bellows",13595,203136.94
2024-06-28,"Other Automotive",10313,93273.35
2024-06-28,"Powertrain Mounts",4307,249304.37
2024-06-28,"Sealing",73349,235368.33
2024-06-29,"Cable Protection",4070,25918.32
2024-06-29,"Chassis NVH",3210,75944.63
2024-06-29,"Hoses & Bellows",4739,70579.1
2024-06-29,"Other Automotive",2522,22811.65
2024-06-29,"Powertrain Mounts",1367,78796.57
2024-06-29,"Sealing",16642,53200.18
2024-06-30,"Cable Protection",2185,14490.82
2024-06-30,"Chassis NVH",2410,58038.47
2024-06-30,"Hoses & Bellows",3654,53308.23
2024-06-30,"Other Automotive",1778,16063.29
2024-06-30,"Powertrain Mounts",1062,61121.14
2024-06-30,"Sealing",11010,35143.75
2024-07-01,"Cable Protection",19620,125593.93
2024-07-01,"Chassis NVH",9374,232405.17
2024-07-01,"Hoses & Bellows",13630,205551.06
2024-07-01,"Other Automotive",9428,86699.64
2024-07-01,"Powertrain Mounts",4217,238449.32
2024-07-01,"Sealing",74405,237974.93
2024-07-02,"Cable Protection",21490,139485.69
2024-07-02,"Chassis NVH",9454,219452.77
2024-07-02,"Hoses & Bellows",14138,217762.58
2024-07-02,"Other Automotive",9980,90063.63
2024-07-02,"Powertrain Mounts",4709,269876.19
2024-07-02,"Sealing",76317,237663.53
2024-07-03,"Cable Protection",21407,139027.29
2024-07-03,"Chassis NVH",9861,235740.58
2024-07-03,"Hoses & Bellows",14212,214303.13
2024-07-03,"Other Automotive",10272,93452.74
2024-07-03,"Powertrain Mounts",4701,262974.43
2024-07-03,"Sealing",78858,254000.06
2024-07-04,"Cable Protection",18563,117355.48
2024-07-04,"Chassis NVH",9573,223956.93
2024-07-04,"Hoses & Bellows",13057,198602.08
2024-07-04,"Other Automotive",11509,105172.64
2024-07-04,"Powertrain Mounts",4656,271207.57
2024-07-04,"Sealing",75127,239325.84
2024-07-05,"Cable Protection",18749,120965.71
2024-07-05,"Chassis NVH",8872,210710.27
2024-07-05,"Hoses & Bellows",12274,186396.67
2024-07-05,"Other Automotive",10019,89777.41
2024-07-05,"Powertrain Mounts",4212,241079.42
2024-07-05,"Sealing",69641,228029.97
2024-07-06,"Cable Protection",3650,23869.03
2024-07-06,"Chassis NVH",3081,74813.55
2024-07-06,"Hoses & Bellows",4342,64582.08
2024-07-06,"Other Automotive",2673,23927.19
2024-07-06,"Powertrain Mounts",1359,78272.87
2024-07-06,"Sealing",16417,53593.08
2024-07-07,"Cable Protection",1899,11940.48
2024-07-07,"Chassis NVH",2391,56844.53
2024-07-07,"Hoses & Bellows",3502,50669.03
2024-07-07,"Other Automotive",1960,16944.84
2024-07-07,"Powertrain Mounts",1006,58092.94
2024-07-07,"Sealing",10680,34544.98
2024-07-08,"Cable Protection",17507,115091.31
2024-07-08,"Chassis NVH",9454,226246.16
2024-07-08,"Hoses & Bellows",13581,205211.07
2024-07-08,"Other Automotive",9582,83538.96
2024-07-08,"Powertrain Mounts",4136,237301.59
2024-07-08,"Sealing",70673,224321.65
2024-07-09,"Cable Protection",17979,116655.04
2024-07-09,"Chassis NVH",9503,228257.82
2024-07-09,"Hoses & Bellows",13403,199844.98
2024-07-09,"Other Automotive",11192,103025.08
2024-07-09,"Powertrain Mounts",4487,261716.81
2024-07-09,"Sealing",72367,230338.45
2024-07-10,"Cable Protection",18321,117328.14
2024-07-10,"Chassis NVH",9336,221383.14
2024-07-10,"Hoses & Bellows",13769,213461.01
2024-07-10,"Other Automotive",10402,92279.77
2024-07-10,"Powertrain Mounts",4512,261823.54
2024-07-10,"Sealing",73510,236180.03
2024-07-11,"Cable Protection",18589,120159.09
